backlight, scattered light, soft shadows, faded washed-out tones, light-leak borders, glossy highlights, vignette
backlight, soft light, lens flare, low contrast, warm muted film tones, soft grain, film halation
backlight, soft light, sunbeams, low contrast, saturated punchy color, fine grain, vignette
even wrap-around light, open shadows, soft light, low contrast, saturated cool-toned film, fine grain, faded colors
warm light, backlight, rim light, soft light, warm muted film tones, soft grain, film halation
haze, warm light, backlight, soft light, warm saturated vintage tones, fine grain, dust and scratches
soft angled light, gentle nose shadow, soft light, low contrast, saturated cool-toned film, fine grain, vignette
rim light, scattered light, soft shadows, washed-out flash exposure, faded color, glossy highlights, vignette
side light, low key, high contrast, heavy film grain, focused hard light, hard-edged shadows, dust and scratches
side light, scattered light, soft shadows, warm saturated vintage tones, fine grain, glossy highlights, film halation
side light, soft light, lens flare, low contrast, warm muted film tones, soft grain, vignette
face half-lit, hard shadow divide, low key, high contrast, warm saturated vintage tones, fine grain, venetian blind shadow pattern
face half-lit, hard shadow divide, low key, high contrast, heavy film grain, focused hard light, hard-edged shadows
top light, hard light, low key, chiaroscuro, deep contrast, heavy film grain, dust and scratches
underlight, hard light, low key, deep contrast, warm saturated vintage tones, fine grain, faded colors
warm light, backlight, rim light, low contrast, saturated cool-toned film, fine grain, film halation
warm light, even wrap-around light, open shadows, warm saturated vintage tones, fine grain, glossy highlights, vignette
warm light, soft overhead light, small nose shadow, saturated cool-toned film, fine grain, soft diffused light, soft shadows
warm light, soft angled light, gentle nose shadow, faded washed-out tones, light-leak borders, glossy highlights, vignette
warm light, glowing light source in scene, warm saturated vintage tones, fine grain, soft diffused light, soft shadows, film halation
