even wrap-around light, soft fill light, low contrast, black and white, monochrome, glossy highlights, film grain
even wrap-around light, open shadows, low contrast, black and white, monochrome, fine film grain, soft fill light
soft overhead light, small nose shadow, soft light, high key, bright even exposure, black and white, monochrome
even front light, minimal shadows, soft light, high key, black and white, monochrome, smooth skin tones
soft fill light, soft light, soft shadows, low contrast, black and white, monochrome, fine film grain
soft angled light, gentle nose shadow, soft shadows, low contrast, black and white, monochrome, film grain
soft angled light, soft light, high key, bright even exposure, black and white, monochrome, glossy highlights
natural light, soft light, low contrast, black and white, monochrome, glossy highlights, silver tones
triangular highlight on shadowed cheek, soft light, low contrast, black and white, monochrome, fine film grain, soft fill light
side light, low contrast, soft shadows, black and white, monochrome, fine film grain, soft fill light
soft light, diffused light, high key, bright even exposure, black and white, monochrome, smooth skin tones
soft light, diffused light, soft shadows, black and white, monochrome, fine film grain, glossy highlights
top light, soft fill light, low contrast, soft shadows, black and white, monochrome, silver tones
warm light, even wrap-around light, low contrast, soft diffused light, black and white, monochrome, film grain
warm light, even front light, diffused light, high key, black and white, monochrome, bright even exposure
