textured recycled paper, visible pulp, uneven absorption, organic noise
raw coarse burlap, cross-hatch weave pattern, high friction, fibrous
oxidized copper plate, green/teal patina background, metallic sheen
cracked porcelain, smooth but fractured, sharp highlights, rigid
corrugated cardboard, linear ridges, brown kraft paper tone, cheap or industrial feel
translucent vellum, cloudy, milky white, soft light diffusion
cold-press watercolor paper, heavy tooth, cotton rag texture, deep pigment trapping
translucent vellum, milky opacity, smooth plastic-like finish, diffused backlighting
corrugated cardboard, linear ridges, fibrous kraft brown, industrial layering
ancient papyrus, woven reed grid, brittle edges, botanical irregularity
graphite transfer paper, dark carbon residue, waxy coating, smudge-prone surface
crumpled notebook page, chaotic valley folds, blue line rule, distressed geography
japanese washi, long mulberry fibers, silken transparency, visible organic inclusions
blue-print cyanotype paper, chemical coating, deep indigo saturation, architectural flatness
coffee-stained napkin, highly absorbent bloom, fragile ply separation, soft diffusion
victorian wallpaper, peeling floral damask, water-damaged corners, faded underlying plaster
raw hessian burlap, coarse cross-hatch weave, loose gaps, fibrous friction
primed linen canvas, tight mechanical grid, gesso resistance, subtle bounce
black velvet, complete light absorption, deep pile fuzz, rich darkness
worn blue denim, diagonal twill pattern, indigo fading, white thread specks
compressed grey felt, matted wool chaos, soft noise, fuzzy indistinct borders
embroidered silk, shimmering gloss, directional thread sheen, slippery smoothness
plastic tarp, synthetic wrinkles, high-specular highlights, waterproof rigidity
fishnet lattice, negative space grid, cast shadow depth, knotted intersections
quilted duvet, puffy volume, undulating topography, stitch-line valleys
gauze bandage, loose open weave, medical white, fragile transparency
cracked fresco plaster, dry lime texture, fissure networks, matte absorption
polished carrera marble, cool white veins, subsurface scattering, stone gloss
rough slate slab, foliated layers, dark grey chipping, flaky shelving
unglazed terracotta, porous orange clay, warm dust, matte friction
poured concrete, industrial grey, air-bubble pockmarks, cold solidity
kintsugi porcelain, smooth white glaze, sharp gold-filled cracks, reflective distinctness
mosaic tile grid, grout line separation, color block frequency, geometric repetition
riverbed sand, granular noise, glittering silica, shifting uneven ground
basalt rock, volcanic porosity, deep black holes, rough abrasion
cave wall trickle, damp sheen, mineral deposits, uneven biological slime
knotted pine plywood, circular woodgrain, swirling rings, warm yellow stain
burnt charcoal wood, carbonized scales, alligator-skin cracks, matte black depth
cork bulletin board, compressed granules, spongy holes, warm brown noise
dried tobacco leaf, brittle veins, organic crinkle, translucent brown skin
weathered boat dock, grey driftwood, salt-bleached ridges, linear splintering
bamboo weave mat, segmented strips, rigid verticality, organic varnish
mossy forest floor, soft green clumps, biological chaos, damp fuzz
birch tree bark, peeling white paper, lenticel dashes, horizontal tearing texture
butcher block, scratches and knife cuts, oiled saturation, hardwood density
pressed flower petals, tissue-thin transparency, fading pigment, fragile veins
rusted aesthetic iron, oxidizing orange flakes, tetanus grit, corrosive texture
brushed stainless steel, horizontal micro-scratches, grey sheen, industrial coldness
oxidized copper patina, verdigris teal bloom, chemical crus, mineral matte
wrinkled aluminum foil, sharp geometric reflections, high contrast crinkle, metallic silver
green circuit board, fiberglass weave, gold solder traces, tech-grid patterning
shattered safety glass, spiderweb fractures, sharp edges, refractive chaos
melting vinyl record, grooved spirals, warped black plastic, glossy distortion
bubble wrap sheet, regular plastic domes, transparent air pockets, synthetic highlight
peeling street poster, glue residue, layered paper tears, urban decay
foggy bathroom mirror, condensation droplets, blurred reflection, glass humidity
